carries,mean_solving_time
1,2.664777777777778
2,3.2482222222222226
3,3.5442222222222224
4,3.1328888888888886
0,4.198444444444444
1,4.990111111111111
2,6.259899999999999
3,7.084999999999999
4,9.287700000000001
0,3.0547
1,2.823888888888889
2,3.304
3,4.146555555555555
4,5.613444444444443
0,3.5119
1,4.493250000000001
2,4.735875
3,6.1238
4,6.079428571428572
0,4.7931
1,6.4027
2,6.334111111111111
3,8.193111111111111
4,9.181999999999999
0,3.4686666666666666
1,4.3956
2,4.988111111111111
3,5.6122
4,6.098249999999999
0,3.610555555555555
1,3.9865555555555554
2,3.9131249999999995
3,6.034888888888889
4,5.3509
0,4.4191
1,4.684111111111111
2,4.351
3,5.121625
4,4.755222222222222
0,3.6657
1,3.829333333333333
2,4.4137
3,4.692333333333333
4,5.4748
0,4.217888888888889
1,4.221555555555556
2,4.753571428571429
3,6.429625000000001
4,10.084166666666667
0,3.5107777777777778
1,3.7897
2,3.7837500000000004
3,4.299888888888889
4,4.574777777777777
0,3.5555555555555554
1,4.0245999999999995
2,4.64825
3,5.176799999999999
4,4.931000000000001
0,3.8790999999999998
1,3.9492
2,4.4428888888888896
3,5.044333333333333
4,4.604333333333333
0,5.1731
1,5.763499999999999
2,4.824285714285715
3,6.227444444444443
4,5.989625
0,3.3993
1,3.407888888888889
2,3.43525
3,4.437111111111111
4,3.8805000000000005
0,3.703222222222222
1,4.0938888888888885
2,4.770777777777778
3,5.232555555555556
4,5.584444444444445
0,3.0310000000000006
1,3.524333333333333
2,3.977
3,5.163666666666667
4,6.2295
0,3.4659999999999997
1,4.516333333333332
2,4.9039
3,4.117222222222221
4,5.805899999999999
0,4.403333333333333
1,5.7269000000000005
2,6.381111111111111
3,7.593444444444444
4,9.216444444444443
0,4.952399999999999
1,5.2253
2,6.279999999999999
3,7.6541250000000005
4,7.668750000000001
0,3.1063333333333336
1,3.004
2,4.578777777777777
3,3.8547777777777776
4,4.731777777777778
0,2.7933333333333334
1,3.167555555555556
2,3.689111111111112
3,4.059
4,4.688555555555556
0,3.7306666666666666
1,4.1832222222222235
2,3.558875
3,4.215111111111111
4,5.2263
0,3.3033333333333332
1,4.3033
2,4.603
3,4.575999999999999
4,5.079777777777778
0,3.964111111111111
1,5.401750000000001
2,5.016666666666667
3,6.081555555555555
4,5.884375
0,3.8145
1,3.9601249999999997
2,4.798375
3,5.2109000000000005
4,5.863111111111111
0,3.1149999999999998
1,3.3143749999999996
2,3.9536000000000002
3,4.563777777777777
4,4.7402
0,3.523
1,3.2458888888888886
2,3.994777777777778
3,4.142444444444444
4,4.752888888888888
0,3.8253750000000006
1,5.2347777777777775
2,5.971333333333334
3,7.440099999999999
4,7.2825
0,3.1428000000000003
1,2.998555555555556
2,3.7558999999999996
3,3.8948
4,3.798222222222222
0,3.0186
1,3.2317
2,3.8697000000000004
3,4.042428571428571
4,3.6220000000000003
0,3.6120999999999994
1,4.714200000000001
2,4.396100000000001
3,4.432500000000001
4,4.501333333333333
0,3.3989999999999996
1,3.8930999999999996
2,4.962000000000001
3,4.5207500000000005
4,5.51475
0,4.59
1,5.4612
2,5.442333333333334
3,5.304333333333333
4,6.688333333333333
0,3.0773333333333333
1,3.5305999999999997
2,3.3552499999999994
3,4.725777777777778
4,4.549499999999999
0,3.1913749999999994
1,3.2688750000000004
2,3.727222222222222
3,3.7776999999999994
4,4.788777777777778
0,3.5009999999999994
1,3.5480999999999994
2,3.4994444444444444
3,4.439125
4,4.988222222222223
0,5.082299999999999
1,6.232777777777777
2,6.8539
3,6.960333333333333
4,6.952299999999999
0,4.2069
1,4.236111111111111
2,4.924700000000001
3,6.0561
4,4.8406666666666665
0,3.6478750000000004
1,3.6566666666666663
2,4.12875
3,4.56
4,6.2362
0,4.2369
1,5.385222222222223
2,5.6018
3,6.1262
4,6.833
0,3.9265
1,4.196375
2,6.026444444444444
3,7.983888888888889
4,7.393333333333333
0,4.111444444444444
1,4.859100000000001
2,5.1396999999999995
3,5.418555555555555
4,5.3660000000000005
0,5.128444444444445
1,5.4482
2,4.71188888888889
3,5.6804444444444435
4,6.616375000000001
0,3.681375
1,4.131888888888889
2,5.4975000000000005
3,4.931111111111111
4,6.109624999999999
0,3.6510000000000002
1,3.736299999999999
2,3.8707499999999997
3,4.242999999999999
4,4.699999999999999
0,3.4604444444444447
1,4.114285714285714
2,4.283444444444445
3,4.5511
4,5.0314444444444435
0,3.38575
1,3.8259999999999996
2,4.031666666666667
3,4.1801111111111116
4,5.2022
0,4.6317
1,5.9939
2,6.243142857142857
3,6.507888888888889
4,6.5475
0,3.2095555555555553
1,3.67725
2,3.9992499999999995
3,5.131399999999999
4,5.552666666666666
0,3.5418999999999996
1,4.189555555555555
2,5.591777777777778
3,6.0211999999999986
4,8.7409
0,3.6569999999999996
1,4.175700000000001
2,5.7537
3,7.066
4,9.604875000000002
0,3.239111111111111
1,3.7867000000000006
2,3.788100000000001
3,4.790222222222222
4,4.317285714285714
0,2.893375
1,3.9995000000000003
2,4.265555555555555
3,4.854888888888889
4,5.789499999999999
0,3.9583333333333335
1,4.6462
2,4.559222222222222
3,5.1847
4,6.678400000000001
0,4.0491
1,4.826444444444444
2,6.6562
3,7.8631
4,6.483999999999999
0,3.989888888888889
1,4.0183333333333335
2,4.4503
3,4.737874999999999
4,5.21825
0,3.667555555555555
1,4.1634
2,4.826555555555555
3,4.7661428571428575
4,6.761666666666667
