solving_time,carries
39.566,4
18.926,1
26.541999999999998,2
26.965999999999998,12
4.902,12
18.805999999999997,0
4.2139999999999995,12
28.71,8
23.726,1
28.534000000000002,5
18.022000000000002,2
18.27,2
38.041,3
44.193999999999996,6
32.257,8
35.393,6
21.323,1
30.265,8
26.497,2
34.969,12
38.01,4
31.416999999999998,6
26.649,3
23.320999999999998,3
25.2,2
23.433000000000003,3
22.273000000000003,4
82.179,5
24.273000000000003,1
27.497,2
51.57,8
29.337,5
36.241,5
9.607999999999999,0
25.353,4
25.033,2
30.465,6
28.441,6
18.320999999999998,2
22.346999999999998,5
22.113000000000003,1
90.852,12
8.496,12
25.889,3
24.537,1
9.968,12
10.664000000000001,8
2.408,0
7.296,12
15.616,0
31.601999999999997,4
16.017,0
23.256999999999998,8
31.433000000000003,5
2.592,0
14.824000000000002,1
20.403,4
83.679,6
32.606,5
30.941999999999997,1
39.382,12
4.43,0
5.782,12
14.958,2
24.95,5
46.367,8
17.414,1
2.374,0
20.214000000000002,4
8.014,12
34.671,5
25.75,2
29.868000000000002,4
22.781999999999996,6
10.357000000000001,2
26.361,3
18.246,3
9.468,0
25.459,1
33.847,8
13.597999999999999,4
6.318,12
19.302,1
9.995,0
21.31,4
12.347999999999999,2
41.343,6
28.453000000000003,5
11.792,2
37.343,8
11.815,8
18.23,1
33.96,3
19.326,6
12.118,3
3.95,0
26.734,5
21.051,6
15.805,3
8.094,12
20.11,8
14.934000000000001,4
71.937,8
36.008,4
45.625,5
29.688000000000002,4
59.129,8
43.36,6
17.976,1
46.185,6
59.385,12
21.44,1
119.20200000000001,12
6.36,12
45.448,6
52.059,5
30.375999999999998,0
18.6,3
74.281,5
76.633,8
20.912,3
45.497,8
19.44,6
28.328000000000003,6
17.272000000000002,3
26.857,4
8.288,12
22.96,3
16.928,1
21.88,2
24.88,3
5.856,0
3.6069999999999998,0
14.328,2
24.592,4
15.504000000000001,1
65.137,4
5.32,0
4.68,0
6.192,12
15.424000000000001,2
19.232,1
42.379,5
21.682,2
62.961000000000006,8
9.008,2
34.49,5
61.11600000000001,4
62.165,12
55.846000000000004,5
11.58,12
43.007,2
36.119,8
39.514,4
42.26,3
51.708999999999996,6
29.191,2
23.279,0
37.484,5
29.711,8
31.531999999999996,2
33.086,3
29.319000000000003,0
22.375999999999998,1
28.815,6
29.96,2
27.750999999999998,5
41.303000000000004,4
44.703,12
27.978,2
