solving_time,operator
2.2159999999999997,add
2.688,add
8.949,add
13.173,add
5.718,add
10.334000000000001,add
16.197,add
9.078,add
8.078,add
5.837999999999999,add
17.869,add
6.518,add
8.35,add
18.437,add
5.118,add
4.15,add
7.07,add
5.43,add
3.966,add
3.926,add
12.934000000000001,add
5.63,add
4.622,add
9.198,add
7.334,add
6.902,add
10.765,add
6.142,add
5.421,add
12.645999999999999,add
13.094000000000001,add
8.462,add
2.846,add
10.294,add
2.366,add
2.229,add
8.046,add
6.1579999999999995,add
5.1979999999999995,add
3.47,add
5.702000000000001,add
5.518,add
17.012999999999998,add
4.013999999999999,add
10.854000000000001,add
3.0860000000000003,add
10.439,add
21.796,add
14.333,add
4.934,add
4.581,add
2.6060000000000003,add
11.655999999999999,add
21.088,add
16.32,add
6.48,add
15.728,add
21.296,add
8.602,add
13.376,add
6.202000000000001,add
4.168,add
9.816,add
14.296,add
12.152000000000001,add
3.472,add
17.947,add
9.216000000000001,add
9.744,add
11.584000000000001,add
9.943999999999999,add
12.786,add
14.624,add
12.095999999999998,add
13.175999999999998,add
15.48,add
12.464,add
8.048,add
8.4,add
7.672000000000001,add
7.072,add
6.466,add
7.6160000000000005,add
7.68,add
4.27,add
7.456,add
7.768,add
7.48,add
3.512,add
15.16,add
11.76,add
3.2239999999999998,add
5.648,add
9.568,add
8.984,add
7.007999999999999,add
9.464,add
5.706,add
11.744000000000002,add
2.8960000000000004,add
7.5120000000000005,add
2.68,add
56.143,add
9.294,add
14.022,add
16.038,add
10.702,add
9.398,add
14.254000000000001,add
7.2139999999999995,add
9.83,add
12.03,add
7.205,add
4.838,add
16.75,add
3.4930000000000003,add
2.8169999999999997,add
10.485999999999999,add
3.9739999999999998,add
5.3260000000000005,add
6.294,add
4.39,add
2.998,add
6.75,add
5.454,add
10.318,add
3.59,add
5.2620000000000005,add
13.038,add
4.19,add
2.006,add
3.5980000000000003,add
9.942,add
5.79,add
20.278,add
5.55,add
18.734,add
2.781,add
7.446000000000001,add
8.918,add
2.4930000000000003,add
10.55,add
2.021,add
4.2139999999999995,add
4.533,add
6.126,add
10.798,add
16.11,add
2.021,add
2.886,add
9.646,add
3.9339999999999997,add
38.094,add
17.758,add
13.798,add
14.894,add
18.846,add
7.35,add
15.23,add
7.846,add
5.462000000000001,add
11.134,add
8.517999999999999,add
38.574,add
22.078000000000003,add
4.15,add
10.366,add
13.597999999999999,add
4.374,add
14.142000000000001,add
9.55,add
21.701999999999998,add
3.6860000000000004,add
17.334,add
11.11,add
7.517,add
8.982000000000001,add
8.934,add
6.1739999999999995,add
6.63,add
9.99,add
7.494,add
7.518,add
6.797999999999999,add
7.039,add
3.398,add
9.021,add
7.494,add
7.71,add
7.206,add
8.494,add
5.91,add
5.1979999999999995,add
6.702000000000001,add
6.446000000000001,add
11.102,add
3.47,add
7.494,add
10.294,add
11.078,add
3.286,add
7.206,add
9.12,add
8.272,add
13.192,add
2.544,add
2.376,add
1.4880000000000002,add
6.952000000000001,add
1.776,add
1.824,add
3.3680000000000003,add
3.04,add
10.847999999999999,add
